Name
A Military Tribute at The Greenbrier
Sanderson Farms Championship
Safeway Open
Shriners Hospitals for Children Open
Houston Open
THE CJ CUP @ NINE BRIDGES
MGM Resorts The Challenge: Japan Skins
ZOZO CHAMPIONSHIP
Bermuda Championship
World Golf Championships-HSBC Champions
Mayakoba Golf Classic
The RSM Classic
Hero World Challenge
Presidents Cup
QBE Shootout
Sentry Tournament of Champions
Sony Open in Hawaii
The American Express
Farmers Insurance Open
Waste Management Phoenix Open
AT&T Pebble Beach Pro-Am
The Genesis Invitational
Puerto Rico Open
World Golf Championships-Mexico Championship
Valero Texas Open
Zurich Classic of New Orleans
Wells Fargo Championship
AT&T Byron Nelson
Charles Schwab Challenge
RBC Canadian Open
RBC Heritage
Travelers Championship
Rocket Mortgage Classic
John Deere Classic
Barbasol Championship
The Memorial Tournament presented by Nationwide
The Open Championship
3M Open
WGC - FedEx St Jude Invitational
Barracuda Championship
Olympic Men's Golf Competition
PGA Championship
Wyndham Championship
THE NORTHERN TRUST
BMW Championship
TOUR Championship
