"Firstname	",Surname,,,,,,** They have repeating Golfer but issues is theres not mine
Ted,Purdy ,,2603,Ted,Purdy ,,
Ryan,Moore ,,2604,Ryan,Moore ,,
Denny,McCarthy ,,2605,Denny,McCarthy ,,
Maverick,McNealy ,,2606,Maverick,McNealy ,,
Shawn,Stefani ,,2607,Shawn,Stefani ,,
Kyoung-Hoon,Lee ,,2608,Kyoung-Hoon,Lee ,,
Adam,Hadwin ,,2609,Adam,Hadwin ,,
Emiliano,Grillo ,,2610,Emiliano,Grillo ,,
Derek,Ernst ,,2611,Derek,Ernst ,,
Robert,Garrigus ,,2612,Robert,Garrigus ,,
Chase,Seiffert ,,2613,Chase,Seiffert ,,
Hank,Lebioda ,,2614,Hank,Lebioda ,,
Adam,Scott ,,2615,Adam,Scott ,,
Nick,Taylor ,,2616,Nick,Taylor ,,
Jonathan,Byrd ,,2617,Jonathan,Byrd ,,
Sepp,Straka ,,2618,Sepp,Straka ,,
Sangmoon,Bae ,,2619,Sangmoon,Bae ,,
Si,Woo Kim,,2620,Si,Woo Kim,,
Stewart,Cink ,,2621,Stewart,Cink ,,
Nick,Watney ,,2622,Nick,Watney ,,
Michael,Gligic ,,2623,Michael,Gligic ,,
Xinjun,Zhang ,,2624,Xinjun,Zhang ,,
Anirban,Lahiri ,,2625,Anirban,Lahiri ,,
Chandler,Phillips ,,2626,Chandler,Phillips ,,
Chip,McDaniel ,,2627,Chip,McDaniel ,,
Russell,Knox ,,2628,Russell,Knox ,,
Cameron,Smith ,,2629,Cameron,Smith ,,
Tim,Wilkinson ,,2630,Tim,Wilkinson ,,
J.B.,Holmes ,,2631,J.B.,Holmes ,,
Jack,Trent ,,2632,Jack,Trent ,,
Lucas,Glover ,,2633,Lucas,Glover ,,
Brian,Harman ,,2634,Brian,Harman ,,
Seamus,Power ,,2635,Seamus,Power ,,
Henrik,Norlander ,,2636,Henrik,Norlander ,,
Dylan,Frittelli ,,2637,Dylan,Frittelli ,,
Tom,Hoge ,,2638,Tom,Hoge ,,
Hideki,Matsuyama ,,2639,Hideki,Matsuyama ,,
Garrett,Osborn ,,2640,Garrett,Osborn ,,
Wes,Roach ,,2641,Wes,Roach ,,
John,Oda ,,2642,John,Oda ,,
Nate,Lashley ,,2643,Nate,Lashley ,,
Jamie,Lovemark ,,2644,Jamie,Lovemark ,,
John,Daly ,,2645,John,Daly ,,
Bo,Hoag ,,2646,Bo,Hoag ,,
Jason,Dufner ,,2647,Jason,Dufner ,,
Mark,Hubbard ,,2648,Mark,Hubbard ,,
Adam,Long ,,2649,Adam,Long ,,
Michael,Gellerman ,,2650,Michael,Gellerman ,,
Andrew,Putnam ,,2651,Andrew,Putnam ,,
Austin,Cook ,,2652,Austin,Cook ,,
Matt,Every ,,2653,Matt,Every ,,
Davis,Riley ,,2654,Davis,Riley ,,
J.T.,Poston ,,2655,J.T.,Poston ,,
J.J.,Spaun ,,2656,J.J.,Spaun ,,
Bronson,Burgoon ,,2657,Bronson,Burgoon ,,
Kevin,Na ,,2658,Kevin,Na ,,
Arjun,Atwal ,,2659,Arjun,Atwal ,,
Patton,Kizzire ,,2660,Patton,Kizzire ,,
Robert,Streb ,,2661,Robert,Streb ,,
