"Firstname	",Surname
Daniel,Nisbet 
Jordan,Spieth 
Scott,Hend 
Shugo,Imahira 
Zhengkai,Bai 
Romain,Langasque 
Shaun,Norris 
Dustin,Johnson 
Matt,Kuchar 
Rickie,Fowler 
Alex,Prugh 
Ollie,Schniederjans 
Kelly,Kraft 
Rob,Labritz 
David,Lipsky 
Ryan,Vermeer 
Chris,Kirk 
Scott,Langley 
Jon,Rahm 
Martin,Kaymer 
Lee,Westwood 
Jonas,Blixt 
Joey,Garber 
Stephan,Jaeger 
John,Chin 
Charlie,Danielson 
Jose,de Jesus
Sam,Saunders 
Adam,Svensson 
Thomas,Pieters 
Nicholas,Lindheim 
Padraig,Harrington 
Chase,Wright 
Aaron,Rai 
Kyle,Jones 
Thorbjorn,Olesen 
Ryan,Fox 
Ben,Silverman 
Cody,Gribble 
Brandon,Harkins 
Tyrone,Van Aswegen
Eddie,Pepperell 
Steve,Stricker 
Anders,Albertson 
Brady,Schnell 
Paul,Barjon 
Luke,Donald 
Marcus,Kinhult 
Seth,Reeves 
Philip,Eriksson 
David,Toms 
Kodai,Ichihara 
Martin,Piller 
Poom,Saksansin 
Ernie,Els 
Andrew,Wilson 
Tom,Lovelady 
Shubhankar,Sharma 
Chris,Thompson 
Curtis,Luck 
Innchoon,Hwang 
Callum,Shinkwin 
Colt,Knost 
Chad,Collins 
Mike,Weir 
Ashton,Turner 
Trey,Mullinax 
Mikko,Korhonen 
Adri,Arnaus 
Andy,Pope 
Nino,Bertasio 
Yuki,Inamori 
Justin,Walters 
Rhys,Enoch 
Clement,Sordet 
Ross,Fisher 
Will,Gordon 
Lucas,Herbert 
Marty,Jertson 
Norman,Xiong 
Jim,Knous 
Richard,Jung 
Jake,Knapp 
Wes,Homan 
Chris,Couch 
Tom,Lehman 
Justin,Suh 
Derek,Fathauer 
Dicky,Pride 
Charlie,Beljan 
Case,Cochran 
Hunter,Mahan 
Stephen,Stallings Jr
Andres,Romero 
Y.E.,Yang 
Julian,Etulain 
Alistair,Docherty 
Omar,Uresti 
Charlie,Wi 
Heath,Slocum 
Will,MacKenzie 
Eric,Axley 
Brian,Davis 
Michael,Hopper 
Frank,Lickliter II
Brett,Quigley 
Hayden,Springer 
Daniel,Summerhays 
Kyle,Westmoreland 
Dylan,Wu 
Tony,Romo 
Shintaro,Ban 
Calum,Hill 
Guido,Migliozzi 
Sebastian,Soderberg 
Kazuki,Higa 
Brendan,Jones 
Andrew,Johnston 
Andy,Sullivan 
Jordan,L Smith
Matthew,Southgate 
Scott,Vincent 
Alexander,Bjork 
JC,Ritchie 
Adrian,Otaegui 
Ryuko,Tokimatsu 
Joachim,B Hansen
Francesco,Laporta 
Joakim,Lagergren 
Thomas,Detry 
Darius,Van Driel
Julian,Suri 
Yuta,Ikeda 
Brandon,Stone 
Oliver,Wilson 
Jaco,Ahlers 
Chris,Paisley 
Sam,Horsfield 
Shota,Akiyoshi 
Brad,Kennedy 
Kalle,Samooja 
Robin,Roussel 
Nicolas,Colsaerts 
Antoine,Rozner 
Dean,Burmester 
George,Coetzee 
Charl,Schwartzel 
Yoshinori,Fujimoto 
Richie,Ramsay 
Sean,Crocker 
Adrian,Meronk 
Steven,Brown 
Sebi,Garcia 
Gunn,Charoenkul 
Jason,Scrivener 
Alexander,Levy 
Ricardo,Santos 
Gavin,Kyle Green
Jack,Senior 
Rashid,Khan 
Cormac,Sharvin 
Hiroshi,Iwata 
Pablo,Larrazabal 
Thriston,Lawrence 
Ho,Sung Choi
Richard,Bland 
John,Catlin 
Wade,Ormsby 
Louis,de Jager
Ignacio,Elvira Mijares
Sebastian,Heisele 
Miguel,Tabuena 
Alvaro,Quiros 
Sihwan,Kim 
Fabrizio,Zanotti 
Ewen,Ferguson 
Matthew,Griffin 
Gaganjeet,Bhullar 
Danie,van Tonder
Miguel,Angel Carballo
Naoki,Sekito 
Jeff,Winther 
Kwanchai,Tannin 
Chris,Wood 
Suradit,Yongcharoenchai 
Toshinori,Muto 
Bio,Kim 
Scott,Jamieson 
Jose-Filipe,Lima 
Sadom,Kaewkanjana 
Robert,Rock 
Paul,Dunne 
Steve,Surry 
Adilson,da Silva
David,Law 
Hiroyuki,Fujita 
Connor,Syme 
Ashley,Chesters 
Oliver,Farr 
Prom,Meesawat 
Dimi,Papadatos 
Edoardo,Molinari 
Angelo,Que 
Grant,Forrest 
Darren,Fichardt 
Lars,Van Meijel
Wil,Besseling 
Lorenzo,Gagli 
Stephen,Gallacher 
Jack,Singh Brar
Josh,Geary 
Sang-hee,Lee 
Maximilian,Kieffer 
Jean-Paul,Strydom 
Atomu,Shigenaga 
Kousuke,Hamamoto 
Juvic,Pagunsan 
Bryce,Easton 
Tapio,Pulkkanen 
David,Drysdale 
Hugo,Leon 
Andrew,Dodt 
Ben,Stow 
Hyun-woo,Ryu 
Renato,Paratore 
Ajeetesh,Sandhu 
Jeunghun,Wang 
Min,Woo Lee
Ross,McGowan 
Doyeob,Mun 
Johannes,Veerman 
Itthipat,Buranatanya 
Eirik,Tage Johansen
Richard,Lee 
Niklas,Lemke 
Daan,Huizing 
Hudson,Swafford 
Taylor,Pendrith 
Kim,Koivu 
Katsumasa,Miyamoto 
Joel,Sjoholm 
Gregory,Havret 
Nicolai,Hojgaard 
Oliver,Fisher 
Soren,Kjeldsen 
Peter,Karmis 
Oscar,Lengden 
Sung,Kug Park
Steven,Tiley 
Brett,Coletta 
Dale,Whitnell 
Thomas,Aiken 
Christopher,Sahlstrom 
Micah,Shin 
Chikkarangappa,S 
Emilio,Cuartero Blanco
Jake,Roos 
Lee,Slattery 
Matthieu,Pavon 
